,UserId,SessionId,ArticleId_served,Click,Percentage Time Spent
0,1,1,2034,0,0
1,1,1,2091,0,0
2,1,1,3375,0,0
3,1,1,1623,1,16
4,1,1,1711,0,0
5,1,1,3178,0,0
6,1,1,3661,0,0
7,1,1,3676,0,0
8,1,1,589,0,0
9,1,1,3310,0,0
10,1,2,2398,0,0
11,1,2,3961,1,30
12,1,2,2856,0,0
13,1,2,1712,0,0
14,1,2,4320,0,0
15,1,2,3004,0,0
16,1,2,1327,0,0
17,1,2,2346,1,8
18,1,2,250,0,0
19,1,2,3647,0,0
20,2,1,392,0,0
21,2,1,2983,0,0
22,2,1,1394,1,13
23,2,1,4117,0,0
24,2,1,4529,1,14
25,2,1,1103,0,0
26,2,1,175,0,0
27,2,1,3304,0,0
28,2,1,2789,0,0
29,2,1,4389,0,0
30,2,2,252,0,0
31,2,2,4163,0,0
32,2,2,4795,0,0
33,2,2,3051,0,0
34,2,2,2373,0,0
35,2,2,1455,0,0
36,2,2,3277,1,9
37,2,2,3183,0,0
38,2,2,2188,1,7
39,2,2,3535,0,0
40,3,1,2106,0,0
41,3,1,3852,1,10
42,3,1,4781,1,6
43,3,1,2284,0,0
44,3,1,3519,1,7
45,3,1,3864,0,0
46,3,1,2758,0,0
47,3,1,2979,0,0
48,3,1,770,0,0
49,3,1,1982,0,0
50,4,1,1906,1,14
51,4,1,4274,0,0
52,4,1,445,0,0
53,4,1,3995,0,0
54,4,1,3687,0,0
55,4,1,4008,0,0
56,4,1,1094,1,6
57,4,1,2754,1,19
58,4,1,2914,1,7
59,4,1,1907,0,0
60,5,1,659,1,24
61,5,1,1218,1,9
62,5,1,2555,0,0
63,5,1,4554,0,0
64,5,1,4536,1,12
65,5,1,1980,0,0
66,5,1,4475,0,0
67,5,1,4253,1,12
68,5,1,1687,0,0
69,5,1,398,0,0
70,6,1,1341,0,0
71,6,1,2330,0,0
72,6,1,334,1,13
73,6,1,1574,0,0
74,6,1,879,0,0
75,6,1,1732,0,0
76,6,1,2323,0,0
77,6,1,262,0,0
78,6,1,4018,0,0
79,6,1,3977,0,0
80,6,2,34,0,0
81,6,2,2698,0,0
82,6,2,1293,0,0
83,6,2,578,0,0
84,6,2,3892,0,0
85,6,2,2573,1,7
86,6,2,4247,0,0
87,6,2,1844,0,0
88,6,2,755,0,0
89,6,2,1654,0,0
90,6,3,3574,0,0
91,6,3,1883,0,0
92,6,3,3061,0,0
93,6,3,2339,0,0
94,6,3,1148,0,0
95,6,3,4572,0,0
96,6,3,3405,0,0
